Freq.	V(vout)/V(vin)
1.00000000000000e+001	(-6.02233664329817e+000dB,-7.20215981442805e-003°)
1.04712854805090e+001	(-6.02233661684246e+000dB,-7.54158717419449e-003°)
1.09647819614319e+001	(-6.02233658783434e+000dB,-7.89701125629279e-003°)
1.14815362149688e+001	(-6.02233655602758e+000dB,-8.26918596354794e-003°)
1.20226443461741e+001	(-6.02233652115216e+000dB,-8.65890072924542e-003°)
1.25892541179417e+001	(-6.02233648291202e+000dB,-9.06698219157746e-003°)
1.31825673855641e+001	(-6.02233644098254e+000dB,-9.49429594712061e-003°)
1.38038426460289e+001	(-6.02233639500777e+000dB,-9.94174838688488e-003°)
1.44543977074593e+001	(-6.02233634459745e+000dB,-1.04102886189076e-002°)
1.51356124843621e+001	(-6.02233628932363e+000dB,-1.09009104814599e-002°)
1.58489319246111e+001	(-6.02233622871709e+000dB,-1.14146546511733e-002°)
1.65958690743756e+001	(-6.02233616226334e+000dB,-1.19526108504624e-002°)
1.73780082874938e+001	(-6.02233608939825e+000dB,-1.25159201590185e-002°)
1.81970085860999e+001	(-6.02233600950327e+000dB,-1.31057774342375e-002°)
1.90546071796325e+001	(-6.02233592190016e+000dB,-1.37234338457468e-002°)
1.99526231496888e+001	(-6.02233582584527e+000dB,-1.43701995293407e-002°)
2.08929613085404e+001	(-6.02233572052317e+000dB,-1.50474463660385e-002°)
2.18776162394956e+001	(-6.02233560503979e+000dB,-1.57566108921158e-002°)
2.29086765276778e+001	(-6.02233547841477e+000dB,-1.64991973462544e-002°)
2.39883291901949e+001	(-6.02233533957320e+000dB,-1.72767808603879e-002°)
2.51188643150958e+001	(-6.02233518733645e+000dB,-1.80910108008574e-002°)
2.63026799189539e+001	(-6.02233502041217e+000dB,-1.89436142671024e-002°)
2.75422870333817e+001	(-6.02233483738333e+000dB,-1.98363997552096e-002°)
2.88403150312661e+001	(-6.02233463669620e+000dB,-2.07712609941831e-002°)
3.01995172040202e+001	(-6.02233441664713e+000dB,-2.17501809630069e-002°)
3.16227766016838e+001	(-6.02233417536812e+000dB,-2.27752360970704e-002°)
3.31131121482592e+001	(-6.02233391081095e+000dB,-2.38486006928216e-002°)
3.46736850452532e+001	(-6.02233362072978e+000dB,-2.49725515200945e-002°)
