Freq.	V(vout)/V(pwm)
1.00000000000000e+001	(1.99982632699815e+001dB,-7.20215981442805e-003°)
1.04712854805090e+001	(1.99982632964372e+001dB,-7.54158717419449e-003°)
1.09647819614319e+001	(1.99982633254453e+001dB,-7.89701125629279e-003°)
1.14815362149688e+001	(1.99982633572520e+001dB,-8.26918596354794e-003°)
1.20226443461741e+001	(1.99982633921275e+001dB,-8.65890072924542e-003°)
1.25892541179417e+001	(1.99982634303676e+001dB,-9.06698219157746e-003°)
1.31825673855641e+001	(1.99982634722971e+001dB,-9.49429594712061e-003°)
1.38038426460289e+001	(1.99982635182719e+001dB,-9.94174838688488e-003°)
1.44543977074593e+001	(1.99982635686822e+001dB,-1.04102886189076e-002°)
1.51356124843621e+001	(1.99982636239560e+001dB,-1.09009104814599e-002°)
1.58489319246111e+001	(1.99982636845625e+001dB,-1.14146546511733e-002°)
1.65958690743756e+001	(1.99982637510163e+001dB,-1.19526108504624e-002°)
1.73780082874938e+001	(1.99982638238814e+001dB,-1.25159201590185e-002°)
1.81970085860999e+001	(1.99982639037764e+001dB,-1.31057774342375e-002°)
1.90546071796325e+001	(1.99982639913795e+001dB,-1.37234338457468e-002°)
1.99526231496888e+001	(1.99982640874344e+001dB,-1.43701995293407e-002°)
2.08929613085404e+001	(1.99982641927565e+001dB,-1.50474463660385e-002°)
2.18776162394956e+001	(1.99982643082398e+001dB,-1.57566108921158e-002°)
2.29086765276778e+001	(1.99982644348649e+001dB,-1.64991973462544e-002°)
2.39883291901949e+001	(1.99982645737064e+001dB,-1.72767808603879e-002°)
2.51188643150958e+001	(1.99982647259432e+001dB,-1.80910108008574e-002°)
2.63026799189539e+001	(1.99982648928675e+001dB,-1.89436142671024e-002°)
2.75422870333817e+001	(1.99982650758963e+001dB,-1.98363997552096e-002°)
2.88403150312661e+001	(1.99982652765834e+001dB,-2.07712609941831e-002°)
3.01995172040202e+001	(1.99982654966325e+001dB,-2.17501809630069e-002°)
3.16227766016838e+001	(1.99982657379115e+001dB,-2.27752360970704e-002°)
3.31131121482592e+001	(1.99982660024687e+001dB,-2.38486006928216e-002°)
3.46736850452532e+001	(1.99982662925498e+001dB,-2.49725515200945e-002°)
3.63078054770102e+001	(1.99982666106175e+001dB,-2.61494726518052e-002°)
3.80189396320562e+001	(1.99982669593718e+001dB,-2.73818605213233e-002°)
3.98107170553498e+001	(1.99982673417733e+001dB,-2.86723292182424e-002°)
4.16869383470336e+001	(1.99982677610682e+001dB,-3.00236160337655e-002°)
