time	V(vout)	V(vout2)
0.000000000000000e+000	-9.998000e-005	-1.019592e-002
1.000000000000000e-006	-9.998000e-005	-1.019592e-002
1.000100000000000e-006	-9.997949e-005	-1.019592e-002
1.000125000000000e-006	-9.997932e-005	-1.019592e-002
1.000175000000000e-006	-9.997878e-005	-1.019592e-002
1.000275000000000e-006	-9.997721e-005	-1.019592e-002
1.000300000000000e-006	-9.997666e-005	-1.019592e-002
1.000318750000000e-006	-9.997615e-005	-1.019592e-002
1.000343750000000e-006	-9.997534e-005	-1.019591e-002
1.000393750000000e-006	-9.997328e-005	-1.019590e-002
1.000493750000000e-006	-9.996689e-005	-1.019588e-002
1.000693750000000e-006	-9.994352e-005	-1.019579e-002
1.001000000000000e-006	-9.989051e-005	-1.019562e-002
1.003235624999998e-006	-9.751988e-005	-1.019073e-002
1.005471249999997e-006	-9.178288e-005	-1.017961e-002
1.007706874999995e-006	-8.267950e-005	-1.016224e-002
1.009942499999993e-006	-7.020975e-005	-1.013864e-002
1.012178124999991e-006	-5.437362e-005	-1.010880e-002
1.014413749999989e-006	-3.517112e-005	-1.007272e-002
1.016649374999987e-006	-1.260225e-005	-1.003041e-002
1.032329374999974e-006	2.318027e-004	-9.566677e-003
1.061746933401430e-006	1.063204e-003	-7.965029e-003
1.109257141284118e-006	3.502640e-003	-3.192737e-003
1.204277557049492e-006	1.158552e-002	1.276523e-002
1.311959168469250e-006	2.400000e-002	3.736873e-002
1.325959168469247e-006	2.618835e-002	4.171792e-002
1.341959168469243e-006	2.882868e-002	4.696754e-002
1.373959168469235e-006	3.455170e-002	5.835294e-002
1.440959168469219e-006	4.745362e-002	8.403274e-002
1.449536430116474e-006	4.928381e-002	8.767779e-002
1.458113691763728e-006	5.114683e-002	9.138864e-002
1.466690953410983e-006	5.304271e-002	9.516529e-002
1.475268215058237e-006	5.497143e-002	9.900774e-002
1.483845476705491e-006	5.693300e-002	1.029160e-001
1.492422738352746e-006	5.892742e-002	1.068900e-001
1.501000000000000e-006	6.095469e-002	1.109299e-001
1.501750000000000e-006	6.113357e-002	1.112864e-001
1.501775000000000e-006	6.113954e-002	1.112983e-001
1.501825000000000e-006	6.115147e-002	1.113221e-001
1.501826562500000e-006	6.115185e-002	1.113228e-001
1.502000000000000e-006	6.119325e-002	1.114053e-001
1.519278945312420e-006	6.540421e-002	1.196048e-001
1.536557890624841e-006	6.977786e-002	1.277633e-001
1.553836835937261e-006	7.431421e-002	1.358810e-001
1.571115781249681e-006	7.901326e-002	1.439577e-001
1.588394726562101e-006	8.387500e-002	1.519936e-001
1.605673671874521e-006	8.889944e-002	1.599885e-001
1.622952617186941e-006	9.408657e-002	1.679426e-001
1.758080000001117e-006	1.366704e-001	2.296095e-001
1.843084296889525e-006	1.680582e-001	2.671649e-001
1.912846718814803e-006	1.956826e-001	2.974578e-001
2.000000000000000e-006	2.330207e-001	3.344743e-001
2.000125000000000e-006	2.330765e-001	3.345267e-001
2.000175000000000e-006	2.330989e-001	3.345477e-001
2.000275000000000e-006	2.331435e-001	3.345896e-001
2.000278125000000e-006	2.331449e-001	3.345909e-001
2.001000000000000e-006	2.334674e-001	3.348939e-001
2.043183962053610e-006	2.528821e-001	3.538887e-001
2.085367924107221e-006	2.728886e-001	3.742462e-001
2.127551886160831e-006	2.934868e-001	3.959664e-001
2.169735848214441e-006	3.146767e-001	4.190492e-001
2.211919810268051e-006	3.364583e-001	4.434946e-001
2.254103772321662e-006	3.588316e-001	4.693027e-001
2.296287734375272e-006	3.817967e-001	4.964734e-001
2.325532343750233e-006	3.982026e-001	5.164377e-001
2.354776953125194e-006	4.148973e-001	5.370797e-001
2.384021562500156e-006	4.318806e-001	5.583992e-001
2.413266171875117e-006	4.491526e-001	5.803962e-001
2.442510781250078e-006	4.667133e-001	6.030709e-001
2.471755390625039e-006	4.845627e-001	6.264231e-001
2.501000000000000e-006	5.027007e-001	6.504529e-001
2.501750000000001e-006	5.031696e-001	6.510779e-001
2.501775000000001e-006	5.031852e-001	6.510987e-001
2.501825000000000e-006	5.032164e-001	6.511404e-001
2.501826562500001e-006	5.032175e-001	6.511417e-001
2.502000000000000e-006	5.033259e-001	6.512863e-001
2.573142857142857e-006	5.488409e-001	7.099616e-001
2.644285714285714e-006	5.958019e-001	7.674372e-001
2.715428571428571e-006	6.442087e-001	8.237130e-001
2.786571428571429e-006	6.940615e-001	8.787890e-001
2.857714285714286e-006	7.453602e-001	9.326652e-001
2.928857142857143e-006	7.981048e-001	9.853417e-001
3.000000000000000e-006	8.522953e-001	1.036818e+000
3.000125000000000e-006	8.523917e-001	1.036908e+000
3.000175000000000e-006	8.524302e-001	1.036943e+000
3.000275000000000e-006	8.525073e-001	1.037015e+000
3.000278125000000e-006	8.525097e-001	1.037017e+000
3.001000000000000e-006	8.530664e-001	1.037532e+000
3.072428571428571e-006	9.089840e-001	1.090791e+000
3.143857142857143e-006	9.660454e-001	1.147557e+000
3.215285714285714e-006	1.024251e+000	1.207830e+000
3.286714285714286e-006	1.083600e+000	1.271609e+000
3.358142857142857e-006	1.144092e+000	1.338896e+000
3.429571428571429e-006	1.205729e+000	1.409689e+000
3.501000000000000e-006	1.268510e+000	1.483989e+000
3.501750000000000e-006	1.269174e+000	1.484786e+000
3.501775000000000e-006	1.269196e+000	1.484813e+000
3.501825000000000e-006	1.269240e+000	1.484866e+000
3.501826562500000e-006	1.269241e+000	1.484867e+000
3.502000000000000e-006	1.269395e+000	1.485052e+000
3.573142857142857e-006	1.333058e+000	1.559671e+000
3.644285714285714e-006	1.397529e+000	1.632455e+000
3.715428571428572e-006	1.462809e+000	1.703402e+000
3.786571428571429e-006	1.528898e+000	1.772513e+000
3.857714285714286e-006	1.595795e+000	1.839788e+000
3.928857142857143e-006	1.663501e+000	1.905227e+000
4.000000000000000e-006	1.732016e+000	1.968829e+000
4.000125000000000e-006	1.732137e+000	1.968939e+000
4.000175000000000e-006	1.732185e+000	1.968983e+000
4.000275000000000e-006	1.732282e+000	1.969071e+000
4.000300000000001e-006	1.732306e+000	1.969093e+000
4.001000000000000e-006	1.732983e+000	1.969709e+000
4.072428571428571e-006	1.802564e+000	2.034419e+000
4.143857142857143e-006	1.872656e+000	2.102015e+000
4.215285714285714e-006	1.943260e+000	2.172497e+000
4.286714285714286e-006	2.014374e+000	2.245865e+000
4.358142857142857e-006	2.085999e+000	2.322119e+000
4.429571428571429e-006	2.158135e+000	2.401259e+000
4.501000000000000e-006	2.230783e+000	2.483285e+000
4.501750000000000e-006	2.231547e+000	2.484159e+000
4.501775000000000e-006	2.231572e+000	2.484189e+000
4.501825000000000e-006	2.231623e+000	2.484247e+000
4.501826562500000e-006	2.231625e+000	2.484249e+000
4.502000000000000e-006	2.231802e+000	2.484451e+000
4.573142857142857e-006	2.304599e+000	2.566074e+000
4.644285714285715e-006	2.377610e+000	2.645281e+000
4.715428571428572e-006	2.450836e+000	2.722071e+000
4.786571428571429e-006	2.524276e+000	2.796446e+000
4.857714285714285e-006	2.597930e+000	2.868404e+000
4.928857142857142e-006	2.671798e+000	2.937946e+000
5.000000000000000e-006	2.745880e+000	3.005072e+000
5.000125000000000e-006	2.746010e+000	3.005188e+000
5.000175000000000e-006	2.746062e+000	3.005234e+000
5.000275000000000e-006	2.746166e+000	3.005327e+000
5.000300000000000e-006	2.746192e+000	3.005350e+000
5.001000000000000e-006	2.746921e+000	3.005997e+000
5.072428571428572e-006	2.821437e+000	3.073608e+000
5.143857142857143e-006	2.895899e+000	3.143560e+000
5.215285714285715e-006	2.970306e+000	3.215854e+000
5.286714285714286e-006	3.044659e+000	3.290488e+000
5.358142857142858e-006	3.118958e+000	3.367463e+000
5.429571428571429e-006	3.193202e+000	3.446778e+000
5.501000000000000e-006	3.267392e+000	3.528435e+000
5.501750000000000e-006	3.268169e+000	3.529303e+000
5.501775000000000e-006	3.268195e+000	3.529332e+000
5.501825000000000e-006	3.268247e+000	3.529390e+000
5.501826562499999e-006	3.268249e+000	3.529392e+000
5.502000000000000e-006	3.268429e+000	3.529593e+000
5.573142857142857e-006	3.342160e+000	3.610270e+000
