time	V(vout)	V(vout2)
0.000000000000000e+000	-9.999999e-005	-1.020000e-002
1.000000000000000e-006	-9.999999e-005	-1.020000e-002
1.000100000000000e-006	-9.999947e-005	-1.020000e-002
1.000125000000000e-006	-9.999931e-005	-1.020000e-002
1.000175000000000e-006	-9.999877e-005	-1.020000e-002
1.000275000000000e-006	-9.999720e-005	-1.019999e-002
1.000300000000000e-006	-9.999665e-005	-1.019999e-002
1.000318750000000e-006	-9.999613e-005	-1.019999e-002
1.000343750000000e-006	-9.999533e-005	-1.019999e-002
1.000393750000000e-006	-9.999326e-005	-1.019998e-002
1.000493750000000e-006	-9.998687e-005	-1.019995e-002
1.000693750000000e-006	-9.996350e-005	-1.019987e-002
1.001000000000000e-006	-9.991049e-005	-1.019969e-002
1.005475624999996e-006	-9.144929e-005	-1.018350e-002
1.009951249999993e-006	-6.983789e-005	-1.014241e-002
1.014426874999989e-006	-3.507630e-005	-1.007642e-002
1.018902499999986e-006	1.283548e-005	-9.985544e-003
1.023378124999982e-006	7.389746e-005	-9.869769e-003
1.027853749999978e-006	1.481096e-004	-9.729099e-003
1.032329374999974e-006	2.354720e-004	-9.563535e-003
1.063059255564895e-006	1.134938e-003	-7.829342e-003
1.114390489123360e-006	3.928377e-003	-2.360119e-003
1.217052956240291e-006	1.289224e-002	1.533444e-002
1.295675065766138e-006	2.250884e-002	3.439487e-002
1.343755780948306e-006	3.012845e-002	4.953215e-002
1.407838569635664e-006	4.184668e-002	7.283611e-002
1.435838569635657e-006	4.782766e-002	8.474207e-002
1.445147345401992e-006	4.986040e-002	8.878902e-002
1.454456121168326e-006	5.193996e-002	9.292972e-002
1.463764896934661e-006	5.406634e-002	9.716418e-002
1.473073672700996e-006	5.623955e-002	1.014924e-001
1.482382448467331e-006	5.845958e-002	1.059143e-001
1.491691224233666e-006	6.072644e-002	1.104301e-001
1.501000000000000e-006	6.304012e-002	1.150395e-001
1.501784652596539e-006	6.323685e-002	1.154315e-001
1.501787693689615e-006	6.323761e-002	1.154330e-001
1.501793775875768e-006	6.323914e-002	1.154360e-001
1.501805940248073e-006	6.324220e-002	1.154421e-001
1.501830268992682e-006	6.324830e-002	1.154543e-001
1.501878926481902e-006	6.326051e-002	1.154786e-001
1.502000000000000e-006	6.329090e-002	1.155391e-001
1.525310396580044e-006	6.931120e-002	1.271902e-001
1.548620793160087e-006	7.566435e-002	1.388286e-001
1.571931189740130e-006	8.235036e-002	1.504542e-001
1.595241586320174e-006	8.936923e-002	1.620672e-001
1.618551982900217e-006	9.672095e-002	1.736676e-001
1.641862379480261e-006	1.044055e-001	1.852552e-001
1.665172776060304e-006	1.124230e-001	1.968302e-001
1.713005236623118e-006	1.282748e-001	2.206246e-001
1.760837697185931e-006	1.453390e-001	2.443472e-001
1.808670157748745e-006	1.636155e-001	2.679979e-001
1.856502618311559e-006	1.831043e-001	2.915768e-001
1.904335078874373e-006	2.038055e-001	3.150838e-001
1.952167539437187e-006	2.257189e-001	3.385190e-001
2.000000000000000e-006	2.488447e-001	3.618823e-001
2.000125000000000e-006	2.489063e-001	3.619432e-001
2.000175000000000e-006	2.489309e-001	3.619676e-001
2.000275000000000e-006	2.489802e-001	3.620164e-001
2.000278125000000e-006	2.489817e-001	3.620179e-001
2.001000000000000e-006	2.493376e-001	3.623700e-001
2.043183962053610e-006	2.708256e-001	3.843480e-001
2.085367924107221e-006	2.930628e-001	4.078584e-001
2.127551886160831e-006	3.160493e-001	4.329014e-001
2.169735848214441e-006	3.397850e-001	4.594769e-001
2.211919810268051e-006	3.642700e-001	4.875849e-001
2.254103772321662e-006	3.895043e-001	5.172254e-001
2.296287734375272e-006	4.154878e-001	5.483984e-001
2.325532343750233e-006	4.341334e-001	5.713117e-001
2.354776953125194e-006	4.531653e-001	5.950263e-001
2.384021562500156e-006	4.725836e-001	6.195424e-001
2.413266171875117e-006	4.923882e-001	6.448597e-001
2.442510781250078e-006	5.125792e-001	6.709785e-001
2.471755390625039e-006	5.331565e-001	6.978986e-001
2.501000000000000e-006	5.541201e-001	7.256200e-001
2.501750000000001e-006	5.546628e-001	7.263417e-001
2.501775000000001e-006	5.546809e-001	7.263657e-001
2.501825000000000e-006	5.547171e-001	7.264139e-001
2.501826562500001e-006	5.547183e-001	7.264154e-001
2.502000000000000e-006	5.548438e-001	7.265823e-001
2.573142857142857e-006	6.076703e-001	7.949436e-001
2.644285714285714e-006	6.626019e-001	8.628138e-001
2.715428571428571e-006	7.196387e-001	9.301931e-001
2.786571428571429e-006	7.787808e-001	9.970813e-001
2.857714285714286e-006	8.400279e-001	1.063479e+000
2.928857142857143e-006	9.033803e-001	1.129385e+000
3.000000000000000e-006	9.688379e-001	1.194800e+000
3.000125000000000e-006	9.689548e-001	1.194914e+000
3.000175000000000e-006	9.690015e-001	1.194960e+000
3.000275000000000e-006	9.690951e-001	1.195051e+000
3.000278125000000e-006	9.690980e-001	1.195054e+000
3.001000000000000e-006	9.697734e-001	1.195714e+000
3.072428571428571e-006	1.037796e+000	1.263520e+000
3.143857142857143e-006	1.107722e+000	1.335638e+000
3.215285714285714e-006	1.179552e+000	1.412067e+000
3.286714285714286e-006	1.253285e+000	1.492807e+000
3.358142857142857e-006	1.328923e+000	1.577860e+000
3.429571428571429e-006	1.406465e+000	1.667223e+000
3.501000000000000e-006	1.485910e+000	1.760899e+000
3.501750000000000e-006	1.486753e+000	1.761905e+000
3.501775000000000e-006	1.486782e+000	1.761939e+000
3.501825000000000e-006	1.486838e+000	1.762006e+000
3.501826562500000e-006	1.486840e+000	1.762008e+000
3.502000000000000e-006	1.487035e+000	1.762241e+000
3.573142857142857e-006	1.568166e+000	1.857344e+000
3.644285714285714e-006	1.650888e+000	1.951394e+000
3.715428571428572e-006	1.735201e+000	2.044390e+000
3.786571428571429e-006	1.821106e+000	2.136333e+000
3.857714285714286e-006	1.908603e+000	2.227223e+000
3.928857142857143e-006	1.997691e+000	2.317059e+000
4.000000000000000e-006	2.088370e+000	2.405842e+000
4.000125000000000e-006	2.088530e+000	2.405997e+000
4.000175000000000e-006	2.088595e+000	2.406059e+000
4.000275000000000e-006	2.088723e+000	2.406183e+000
4.000300000000001e-006	2.088755e+000	2.406214e+000
4.001000000000000e-006	2.089655e+000	2.407080e+000
4.072428571428571e-006	2.182383e+000	2.497668e+000
4.143857142857143e-006	2.276405e+000	2.591918e+000
4.215285714285714e-006	2.371722e+000	2.689832e+000
4.286714285714286e-006	2.468333e+000	2.791409e+000
4.358142857142857e-006	2.566238e+000	2.896648e+000
4.429571428571429e-006	2.665438e+000	3.005550e+000
4.501000000000000e-006	2.765933e+000	3.118116e+000
4.501750000000000e-006	2.766993e+000	3.119316e+000
4.501775000000000e-006	2.767029e+000	3.119356e+000
4.501825000000000e-006	2.767099e+000	3.119436e+000
4.501826562500000e-006	2.767102e+000	3.119439e+000
4.502000000000000e-006	2.767347e+000	3.119716e+000
4.573142857142857e-006	2.868732e+000	3.232870e+000
4.644285714285715e-006	2.971038e+000	3.344264e+000
4.715428571428572e-006	3.074263e+000	3.453898e+000
4.786571428571429e-006	3.178408e+000	3.561774e+000
4.857714285714285e-006	3.283473e+000	3.667891e+000
