time	V(vout)	V(n003)	I(L1)
0.000000000000000e+000	5.005000e-008	0.000000e+000	1.001000e-008
1.759999992967387e-010	5.005000e-008	8.800000e-001	1.001000e-008
1.774200804964894e-010	5.005000e-008	8.871004e-001	1.001627e-008
1.802602428959909e-010	5.005000e-008	9.013012e-001	1.042943e-008
1.814023311235948e-010	5.005000e-008	9.070116e-001	1.154031e-008
1.824011188797540e-010	5.005000e-008	9.120056e-001	1.422930e-008
1.834800591903056e-010	5.005001e-008	9.174003e-001	2.007264e-008
1.845358634279352e-010	5.005003e-008	9.226793e-001	3.083753e-008
1.854759843183067e-010	5.005005e-008	9.273799e-001	4.857861e-008
1.863304461093241e-010	5.005010e-008	9.316522e-001	7.778903e-008
1.871351968700538e-010	5.005018e-008	9.356760e-001	1.275742e-007
1.879911202801825e-010	5.005031e-008	9.399556e-001	2.208708e-007
1.887722124915337e-010	5.005053e-008	9.438611e-001	3.681344e-007
1.895886917719936e-010	5.005093e-008	9.479434e-001	6.205095e-007
1.904091735217621e-010	5.005161e-008	9.520459e-001	1.008275e-006
1.913696815108161e-010	5.005295e-008	9.568484e-001	1.644938e-006
1.926407702617808e-010	5.005586e-008	9.632038e-001	2.699189e-006
1.942059374296831e-010	5.006144e-008	9.710297e-001	4.161459e-006
1.960969541886478e-010	5.007127e-008	9.804848e-001	6.016794e-006
1.981589354865875e-010	5.008647e-008	9.907947e-001	8.070173e-006
2.014119496989252e-010	5.012118e-008	1.007060e+000	1.132108e-005
3.154959568847930e-010	5.948050e-008	1.577480e+000	1.254048e-004
4.295799640706610e-010	8.133343e-008	2.147900e+000	2.394886e-004
5.436639712565288e-010	1.156800e-007	2.718320e+000	3.535724e-004
6.577479784423967e-010	1.625201e-007	3.288740e+000	4.676564e-004
7.718319856282645e-010	2.218539e-007	3.859160e+000	5.817403e-004
8.859159928141325e-010	2.936812e-007	4.429580e+000	6.958244e-004
1.000000000000000e-009	3.780022e-007	5.000000e+000	8.099085e-004
1.109051606254291e-009	4.743234e-007	5.000000e+000	9.189601e-004
1.233682013402052e-009	6.024302e-007	5.000000e+000	1.043590e-003
1.482942827697574e-009	9.168771e-007	5.000000e+000	1.292851e-003
