time	V(vout)
0.000000000000000e+000	5.005000e-008
1.599999993606716e-010	5.005000e-008
1.799999992807555e-010	5.005008e-008
1.863390263777386e-010	5.005020e-008
1.863974595092270e-010	5.005021e-008
1.865143257722039e-010	5.005021e-008
1.867480582981577e-010	5.005023e-008
1.872155233500652e-010	5.005029e-008
1.879495326827606e-010	5.005041e-008
1.887734089062466e-010	5.005064e-008
1.895770736541249e-010	5.005104e-008
1.904292059922570e-010	5.005174e-008
1.913742053211162e-010	5.005307e-008
1.926745473009928e-010	5.005607e-008
1.942351449734317e-010	5.006167e-008
1.961344088937749e-010	5.007161e-008
1.981999354747817e-010	5.008694e-008
2.014942207054095e-010	5.012235e-008
3.155664748903511e-010	5.930833e-008
4.296387290752926e-010	8.104565e-008
5.437109832602342e-010	1.153343e-007
6.577832374451757e-010	1.621743e-007
7.718554916301172e-010	2.215657e-007
8.859277458150588e-010	2.935083e-007
1.000000000000000e-009	3.780024e-007
1.153674388958833e-009	5.183546e-007
1.329302262054642e-009	7.145518e-007
1.680558008246259e-009	1.222582e-006
2.383069500629494e-009	2.701125e-006
3.788092485395964e-009	7.507651e-006
6.598138454928903e-009	2.451456e-005
1.221823039399478e-008	8.807245e-005
2.345841427212654e-008	3.331132e-004
4.593878202839006e-008	1.292870e-003
9.089951754091709e-008	5.074700e-003
1.808209885659712e-007	1.995353e-002
3.606639306160793e-007	7.686903e-002
6.949648288195733e-007	2.607986e-001
1.155424921753096e-006	6.620187e-001
1.801221506044504e-006	1.467786e+000
2.592411332384035e-006	2.745771e+000
3.579973915479132e-006	4.617397e+000
4.726804732172969e-006	6.901933e+000
6.094782489932521e-006	9.411917e+000
7.688501274075952e-006	1.161896e+001
9.669778888443062e-006	1.309004e+001
1.155727654126661e-005	1.325050e+001
1.331249666491929e-005	1.251539e+001
1.501731032726508e-005	1.139015e+001
1.693700076373131e-005	1.015429e+001
1.925249562303454e-005	9.117645e+000
2.126463933389456e-005	8.784413e+000
2.351483251816631e-005	8.979397e+000
2.564656697253691e-005	9.444815e+000
2.848529975123846e-005	1.006237e+001
3.145544292990273e-005	1.040585e+001
3.428413464503636e-005	1.038189e+001
3.770524200672737e-005	1.011695e+001
4.106818345836229e-005	9.909049e+000
4.595747920127963e-005	9.869291e+000
5.053819043533335e-005	9.978327e+000
5.564470092879865e-005	1.005463e+001
6.188278746452954e-005	1.001787e+001
6.841768503700609e-005	9.977621e+000
7.851911130399061e-005	9.997046e+000
8.797020843973451e-005	1.000809e+001
1.021001533194231e-004	9.994618e+000
1.166006284226448e-004	9.995173e+000
1.455234508968982e-004	9.998143e+000
1.753964359487551e-004	9.996699e+000
2.174756478626405e-004	9.998370e+000
2.737190318679661e-004	9.997470e+000
3.499756096108650e-004	9.997725e+000
3.574933439521706e-004	9.978070e+000
3.650110782934762e-004	9.964574e+000
3.725288126347817e-004	9.957239e+000
3.800465469760874e-004	9.956064e+000
3.875642813173929e-004	9.961049e+000
3.950820156586985e-004	9.972195e+000
4.025997500000041e-004	9.989501e+000
4.028557500000081e-004	9.990211e+000
4.033677500000162e-004	9.991650e+000
4.043917500000323e-004	9.994377e+000
4.064397500000645e-004	9.998372e+000
4.105357500001290e-004	1.000092e+001
4.187277500002580e-004	9.999136e+000
4.351117500005160e-004	9.997166e+000
4.398293214291617e-004	1.000075e+001
4.445468928578074e-004	1.000328e+001
4.492644642864531e-004	1.000475e+001
4.539820357150988e-004	1.000516e+001
4.586996071437445e-004	1.000451e+001
4.634171785723902e-004	1.000280e+001
4.681347500010359e-004	1.000003e+001
4.683907500010400e-004	9.999849e+000
4.689027500010480e-004	9.999476e+000
4.699267500010641e-004	9.998764e+000
4.760707500011609e-004	9.997001e+000
4.773140357154662e-004	9.996941e+000
4.785573214297715e-004	9.996948e+000
4.798006071440768e-004	9.997019e+000
4.810438928583820e-004	9.997157e+000
4.822871785726873e-004	9.997359e+000
4.835304642869926e-004	9.997627e+000
4.847737500012979e-004	9.997961e+000
4.863097500013221e-004	9.998255e+000
4.883577500013543e-004	9.998355e+000
4.890890357156515e-004	9.998369e+000
4.898203214299488e-004	9.998362e+000
4.905516071442460e-004	9.998334e+000
4.912828928585433e-004	9.998286e+000
4.920141785728405e-004	9.998217e+000
4.927454642871378e-004	9.998128e+000
4.934767500014349e-004	9.998017e+000
4.945007500014511e-004	9.997884e+000
4.948663214300283e-004	9.997833e+000
4.952318928586055e-004	9.997786e+000
4.955974642871827e-004	9.997744e+000
4.959630357157598e-004	9.997706e+000
4.963286071443370e-004	9.997672e+000
4.966941785729142e-004	9.997643e+000
4.970597500014914e-004	9.997618e+000
4.975717500014994e-004	9.997591e+000
4.977544642872166e-004	9.997581e+000
4.979371785729337e-004	9.997573e+000
4.981198928586509e-004	9.997566e+000
4.983026071443680e-004	9.997560e+000
4.984853214300853e-004	9.997555e+000
4.986680357158024e-004	9.997551e+000
4.988507500015196e-004	9.997549e+000
4.991067500015236e-004	9.997548e+000
4.992345000013060e-004	9.997547e+000
4.993622500010882e-004	9.997547e+000
4.994900000008706e-004	9.997547e+000
4.996177500006530e-004	9.997548e+000
4.997455000004354e-004	9.997549e+000
4.998732500002177e-004	9.997551e+000
5.000010000000000e-004	9.997553e+000
5.000017500000001e-004	9.997553e+000
5.000017750000001e-004	9.997553e+000
5.000018250000001e-004	9.997553e+000
5.000018265625001e-004	9.997553e+000
5.000020000000000e-004	9.997553e+000
5.000711189452457e-004	9.994345e+000
5.001402378904913e-004	9.985613e+000
5.002093568357370e-004	9.971356e+000
5.002784757809827e-004	9.951574e+000
5.003475947262284e-004	9.926268e+000
5.004167136714740e-004	9.895437e+000
5.004858326167197e-004	9.859081e+000
5.009696726162519e-004	9.479000e+000
5.019373526153162e-004	8.394508e+000
5.020649073922140e-004	8.216922e+000
5.021205210666610e-004	8.129381e+000
5.021246002940715e-004	8.122870e+000
5.021286795214820e-004	8.116344e+000
5.021327587488925e-004	8.109806e+000
5.021368379763031e-004	8.103253e+000
5.021409172037136e-004	8.096687e+000
5.021449964311241e-004	8.090108e+000
5.021490756585346e-004	8.083515e+000
5.021490770187515e-004	8.083513e+000
5.021490776580283e-004	8.083512e+000
5.021490780517564e-004	8.083511e+000
5.021490784222762e-004	8.083511e+000
5.021490788266158e-004	8.083510e+000
5.021490792056191e-004	8.083509e+000
5.021490796020344e-004	8.083509e+000
5.021490799794944e-004	8.083508e+000
5.021490803689037e-004	8.083508e+000
5.021490807431557e-004	8.083508e+000
5.021490814846910e-004	8.083506e+000
5.021490819817017e-004	8.083505e+000
5.021490824787125e-004	8.083504e+000
5.021490829757232e-004	8.083503e+000
5.021490834727340e-004	8.083502e+000
5.021490839697447e-004	8.083502e+000
5.021490844667554e-004	8.083501e+000
5.021490849637662e-004	8.083500e+000
5.025164905690275e-004	7.526051e+000
5.028838961742888e-004	7.001793e+000
5.032513017795502e-004	6.510728e+000
5.036187073848115e-004	6.052854e+000
5.039861129900728e-004	5.628172e+000
5.043535185953341e-004	5.236682e+000
5.047209242005955e-004	4.878383e+000
5.059098206302526e-004	3.861247e+000
5.072062353923486e-004	2.998708e+000
5.090872026151707e-004	2.080367e+000
5.111203615190325e-004	1.381418e+000
5.131020168462945e-004	9.219164e-001
5.149945554854471e-004	6.272879e-001
5.168983234515990e-004	4.267608e-001
5.188027482474889e-004	2.903062e-001
5.207253039769602e-004	1.967289e-001
5.226364814522977e-004	1.335755e-001
5.245541257653547e-004	9.059183e-002
5.264643112300187e-004	6.152857e-002
5.283808522218910e-004	4.174029e-002
5.302925304557693e-004	2.834138e-002
5.322084658445829e-004	1.922831e-002
5.341207428528943e-004	1.305439e-002
5.360360467896405e-004	8.857870e-003
5.379487936828731e-004	6.013239e-003
5.398637124286616e-004	4.080497e-003
5.417768071512451e-004	2.769908e-003
5.436914438159977e-004	1.879726e-003
5.456047843823405e-004	1.275939e-003
5.475192277137762e-004	8.659229e-004
5.494327552020469e-004	5.877681e-004
5.513470764755933e-004	3.989095e-004
5.532607589507309e-004	2.707712e-004
5.551750258549463e-004	1.837789e-004
5.570888667976344e-004	1.247501e-004
5.590031660210550e-004	8.467896e-005
5.609172243154811e-004	5.748683e-005
5.628317005833819e-004	3.902875e-005
5.647461404973521e-004	2.650256e-005
5.666610771142128e-004	1.800010e-005
5.685762811336068e-004	1.222988e-005
5.704922708874574e-004	8.313321e-006
5.724090872178314e-004	5.655276e-006
5.743273999940869e-004	3.851153e-006
5.762476802205073e-004	2.626735e-006
5.781710552974204e-004	1.795690e-006
5.800988146471471e-004	1.231680e-006
5.820331611972537e-004	8.488872e-007
5.839770596236712e-004	5.891095e-007
5.859350651470533e-004	4.128243e-007
5.879136219537531e-004	2.932251e-007
5.899222298657312e-004	2.121158e-007
5.919744292008427e-004	1.571580e-007
5.940896783020940e-004	1.199838e-007
5.986301713730817e-004	7.814018e-008
6.070602387632946e-004	5.529605e-008
1.000000000000000e-003	5.005000e-008
1.000000175000000e-003	5.005000e-008
1.000000177218752e-003	5.005000e-008
1.000000181656256e-003	5.005000e-008
1.000000181776181e-003	5.005001e-008
1.000000182016030e-003	5.005001e-008
1.000000182495729e-003	5.005001e-008
1.000000183426728e-003	5.005001e-008
1.000000184407335e-003	5.005003e-008
1.000000185327897e-003	5.005005e-008
1.000000186184228e-003	5.005009e-008
1.000000186994826e-003	5.005016e-008
1.000000187858413e-003	5.005029e-008
1.000000188642647e-003	5.005049e-008
1.000000189458338e-003	5.005085e-008
1.000000190269297e-003	5.005147e-008
1.000000191202654e-003	5.005267e-008
1.000000192387452e-003	5.005518e-008
1.000000193981472e-003	5.006055e-008
1.000000195878116e-003	5.006995e-008
1.000000197876556e-003	5.008407e-008
1.000000200912421e-003	5.011489e-008
1.000000315067789e-003	6.042947e-008
1.000000429223158e-003	8.291945e-008
1.000000543378526e-003	1.175848e-007
1.000000657533895e-003	1.644256e-007
1.000000771689263e-003	2.234419e-007
1.000000885844631e-003	2.946335e-007
1.000001000000000e-003	3.780005e-007
1.000001152872677e-003	5.175377e-007
1.000001327584309e-003	7.124308e-007
1.000001677007571e-003	1.216650e-006
1.000002375854096e-003	2.682758e-006
1.000003773547146e-003	7.445173e-006
1.000006568933247e-003	2.428695e-005
1.000012159705447e-003	8.720745e-005
1.000023341249849e-003	3.297488e-004
1.000045704338652e-003	1.279640e-003
1.000090430516258e-003	5.022529e-003
1.000179882871470e-003	1.974875e-002
1.000358787581894e-003	7.612396e-002
1.000692286737974e-003	2.589486e-001
1.001151492837115e-003	6.579292e-001
1.001796313104033e-003	1.460752e+000
1.002586138244295e-003	2.734659e+000
1.003572645347757e-003	4.602895e+000
1.004718009740969e-003	6.884650e+000
1.006084636983592e-003	9.395037e+000
1.007676216575770e-003	1.160565e+001
1.009654270846527e-003	1.308383e+001
1.011545562659266e-003	1.325273e+001
1.013299638883368e-003	1.252298e+001
1.015005608929090e-003	1.139815e+001
1.016920824385434e-003	1.016367e+001
1.019238662163557e-003	9.122236e+000
1.021254748375604e-003	8.784950e+000
1.023504270650264e-003	8.977400e+000
1.025635498601840e-003	9.442112e+000
1.028468633137402e-003	1.005946e+001
1.031439349045257e-003	1.040492e+001
1.034272706477820e-003	1.038240e+001
1.037692710687250e-003	1.011801e+001
1.041052447037644e-003	9.909721e+000
1.045939949057921e-003	9.869008e+000
1.050527110211875e-003	9.978048e+000
1.055624580682446e-003	1.005461e+001
1.061861659795692e-003	1.001809e+001
1.068397357054265e-003	9.977687e+000
1.078482363169062e-003	9.996916e+000
1.087951172053457e-003	1.000807e+001
1.102088016160224e-003	9.994627e+000
1.116590990675893e-003	9.995161e+000
1.145444580591402e-003	9.998157e+000
1.175327941191114e-003	9.996705e+000
1.217262882718058e-003	9.998375e+000
1.273469584597238e-003	9.997471e+000
