time	V(vout)
0.000000000000000e+000	5.005000e-008
1.753949141766355e-010	5.005000e-008
1.790398505098401e-010	5.005000e-008
1.808673127421078e-010	5.005000e-008
1.819570929152530e-010	5.005000e-008
1.828993388627192e-010	5.005001e-008
1.839990626522561e-010	5.005002e-008
1.850021217026053e-010	5.005004e-008
1.858968854939691e-010	5.005007e-008
1.867237081862755e-010	5.005013e-008
1.875139994479053e-010	5.005023e-008
1.883452518828033e-010	5.005040e-008
1.891236392680958e-010	5.005068e-008
1.899450931996089e-010	5.005118e-008
1.908036970744279e-010	5.005207e-008
1.918636289754129e-010	5.005397e-008
1.935390731891118e-010	5.005891e-008
1.953947812024855e-010	5.006721e-008
1.973397640009206e-010	5.007978e-008
1.999601542783095e-010	5.010389e-008
2.725857968369053e-010	5.487195e-008
3.452114393955010e-010	6.521073e-008
4.178370819540967e-010	8.112024e-008
4.904627245126924e-010	1.026005e-007
5.630883670712882e-010	1.296514e-007
6.357140096298839e-010	1.622730e-007
7.083396521884795e-010	2.004654e-007
1.000000000000000e-009	3.780017e-007
1.204162243468065e-009	5.714055e-007
1.437490521717281e-009	8.556152e-007
1.904147078215714e-009	1.628125e-006
2.837460191212580e-009	3.989362e-006
4.704086417206313e-009	1.197556e-005
8.437338869193778e-009	4.099368e-005
1.590384377316870e-008	1.419765e-004
2.590384377316870e-008	3.549267e-004
3.590384377316870e-008	6.610415e-004
4.590384377316871e-008	1.066438e-003
5.590384377316871e-008	1.570912e-003
6.590384377316870e-008	2.174263e-003
7.590384377316870e-008	2.876285e-003
8.590384377316870e-008	3.676775e-003
9.590384377316869e-008	4.575528e-003
1.059038437731687e-007	5.572338e-003
1.159038437731687e-007	6.667000e-003
1.259038437731687e-007	7.859306e-003
1.359038437731687e-007	9.149050e-003
1.459038437731687e-007	1.053602e-002
1.559038437731687e-007	1.202002e-002
1.659038437731687e-007	1.360083e-002
1.759038437731687e-007	1.527824e-002
1.859038437731687e-007	1.705205e-002
1.959038437731688e-007	1.892204e-002
2.159038437731688e-007	2.294972e-002
2.359038437731688e-007	2.735960e-002
2.559038437731688e-007	3.214998e-002
2.759038437731688e-007	3.731913e-002
3.059038437731688e-007	4.577932e-002
3.359038437731689e-007	5.508205e-002
3.659038437731689e-007	6.522146e-002
3.959038437731689e-007	7.619162e-002
4.109175803770020e-007	8.199626e-002
4.259313169808349e-007	8.800291e-002
4.409450535846679e-007	9.421157e-002
4.559587901885010e-007	1.006222e-001
4.709725267923340e-007	1.072349e-001
4.859862633961670e-007	1.140496e-001
5.010000000000000e-007	1.210664e-001
5.017499999999999e-007	1.214225e-001
5.017750000000000e-007	1.214344e-001
5.018250000000000e-007	1.214582e-001
5.018265625000000e-007	1.214589e-001
5.020000000000000e-007	1.215413e-001
5.731428571428572e-007	1.550937e-001
6.442857142857144e-007	1.880689e-001
7.154285714285715e-007	2.204669e-001
7.865714285714287e-007	2.522877e-001
8.577142857142858e-007	2.835313e-001
9.288571428571430e-007	3.141978e-001
1.000000000000000e-006	3.442871e-001
1.000125000000000e-006	3.443394e-001
1.000175000000000e-006	3.443603e-001
1.000275000000000e-006	3.444021e-001
1.000300000000000e-006	3.444126e-001
1.001000000000000e-006	3.447057e-001
1.072428571428571e-006	3.770953e-001
1.143857142857143e-006	4.136927e-001
1.215285714285714e-006	4.544977e-001
1.286714285714286e-006	4.995105e-001
1.358142857142857e-006	5.487310e-001
1.429571428571429e-006	6.021592e-001
1.501000000000000e-006	6.597951e-001
1.501776875000868e-006	6.604415e-001
1.501789625000818e-006	6.604521e-001
1.501792812500806e-006	6.604548e-001
1.501799187500781e-006	6.604601e-001
1.501811937500732e-006	6.604707e-001
1.501837437500632e-006	6.604919e-001
1.501888437500434e-006	6.605344e-001
1.502000000000000e-006	6.606272e-001
1.573142857142857e-006	7.192711e-001
1.644285714285714e-006	7.766931e-001
1.715428571428572e-006	8.328931e-001
1.786571428571429e-006	8.878710e-001
1.857714285714286e-006	9.416270e-001
1.928857142857143e-006	9.941609e-001
2.000000000000000e-006	1.045473e+000
2.000125000000000e-006	1.045562e+000
2.000175000000000e-006	1.045597e+000
2.000275000000000e-006	1.045669e+000
2.000278125000000e-006	1.045671e+000
2.001000000000000e-006	1.046185e+000
2.072428571428571e-006	1.099208e+000
2.143857142857143e-006	1.155779e+000
2.215285714285714e-006	1.215899e+000
2.286714285714286e-006	1.279568e+000
2.358142857142857e-006	1.346786e+000
2.429571428571428e-006	1.417552e+000
2.501000000000000e-006	1.491867e+000
2.501784560547301e-006	1.492700e+000
2.501791189453538e-006	1.492707e+000
2.501804447266012e-006	1.492721e+000
2.501830962890959e-006	1.492749e+000
2.501883994140854e-006	1.492805e+000
2.502000000000000e-006	1.492928e+000
2.573142857142857e-006	1.567513e+000
2.644285714285714e-006	1.640228e+000
2.715428571428571e-006	1.711075e+000
2.786571428571429e-006	1.780054e+000
2.857714285714286e-006	1.847164e+000
2.928857142857143e-006	1.912405e+000
3.000000000000000e-006	1.975778e+000
3.000125000000000e-006	1.975887e+000
3.000175000000001e-006	1.975931e+000
3.000275000000001e-006	1.976019e+000
3.000300000000001e-006	1.976041e+000
3.001000000000000e-006	1.976655e+000
3.072428571428572e-006	2.041128e+000
3.143857142857143e-006	2.108520e+000
3.215285714285714e-006	2.178831e+000
3.286714285714286e-006	2.252061e+000
3.358142857142857e-006	2.328211e+000
3.429571428571429e-006	2.407280e+000
3.501000000000000e-006	2.489268e+000
3.501776875002208e-006	2.490172e+000
3.501789625002081e-006	2.490187e+000
3.501792812502050e-006	2.490191e+000
3.501799187501987e-006	2.490198e+000
3.501811937501860e-006	2.490213e+000
3.501837437501608e-006	2.490243e+000
3.501888437501104e-006	2.490302e+000
3.502000000000000e-006	2.490432e+000
3.573142857142857e-006	2.572032e+000
3.644285714285714e-006	2.651173e+000
3.715428571428572e-006	2.727856e+000
3.786571428571429e-006	2.802081e+000
3.857714285714286e-006	2.873847e+000
3.928857142857143e-006	2.943154e+000
4.000000000000000e-006	3.010003e+000
4.000125000000000e-006	3.010118e+000
4.000175000000000e-006	3.010164e+000
4.000275000000000e-006	3.010257e+000
4.000300000000001e-006	3.010280e+000
4.001000000000000e-006	3.010926e+000
4.072428571428571e-006	3.078301e+000
4.143857142857142e-006	3.148047e+000
4.215285714285714e-006	3.220164e+000
4.286714285714285e-006	3.294651e+000
4.358142857142857e-006	3.371509e+000
4.429571428571429e-006	3.450737e+000
4.501000000000000e-006	3.532336e+000
4.501776875002259e-006	3.533233e+000
4.501789625002130e-006	3.533248e+000
4.501792812502098e-006	3.533251e+000
4.501799187502033e-006	3.533259e+000
4.501811937501905e-006	3.533273e+000
4.501837437501647e-006	3.533303e+000
4.501888437501130e-006	3.533362e+000
4.502000000000000e-006	3.533491e+000
4.573142857142857e-006	3.614170e+000
4.644285714285715e-006	3.691900e+000
4.715428571428572e-006	3.766682e+000
4.786571428571429e-006	3.838514e+000
4.857714285714285e-006	3.907397e+000
4.928857142857142e-006	3.973332e+000
5.000000000000000e-006	4.036317e+000
5.000125000000000e-006	4.036426e+000
5.000175000000000e-006	4.036469e+000
5.000275000000000e-006	4.036555e+000
5.000300000000000e-006	4.036577e+000
5.000999999999999e-006	4.037182e+000
5.072428571428571e-006	4.100204e+000
5.143857142857142e-006	4.165162e+000
5.215285714285714e-006	4.232058e+000
5.286714285714285e-006	4.300891e+000
5.358142857142857e-006	4.371660e+000
5.429571428571429e-006	4.444367e+000
5.501000000000000e-006	4.519011e+000
5.501776875002258e-006	4.519831e+000
5.501789625002129e-006	4.519845e+000
5.501792812502097e-006	4.519848e+000
5.501799187502032e-006	4.519855e+000
5.501811937501903e-006	4.519868e+000
5.501837437501646e-006	4.519895e+000
5.501888437501129e-006	4.519949e+000
5.501999999999999e-006	4.520067e+000
5.573142857142856e-006	4.593411e+000
5.644285714285714e-006	4.663442e+000
5.715428571428571e-006	4.730159e+000
5.786571428571428e-006	4.793561e+000
5.857714285714285e-006	4.853650e+000
5.928857142857142e-006	4.910426e+000
5.999999999999999e-006	4.963887e+000
6.000125000000000e-006	4.963978e+000
6.000175000000000e-006	4.964014e+000
6.000275000000000e-006	4.964087e+000
6.000278125000000e-006	4.964089e+000
6.001000000000000e-006	4.964616e+000
6.001483984374998e-006	4.964969e+000
6.072843415178570e-006	5.018046e+000
6.144202845982142e-006	5.072757e+000
6.215562276785713e-006	5.129101e+000
6.286921707589285e-006	5.187080e+000
6.358281138392857e-006	5.246693e+000
6.429640569196428e-006	5.307939e+000
6.501000000000000e-006	5.370820e+000
6.501784560545079e-006	5.371518e+000
6.501791189451384e-006	5.371523e+000
6.501804447263995e-006	5.371535e+000
6.501830962889216e-006	5.371559e+000
6.501883994139658e-006	5.371606e+000
6.502000000000000e-006	5.371709e+000
6.573142857142857e-006	5.433128e+000
6.644285714285714e-006	5.491004e+000
6.715428571428571e-006	5.545336e+000
6.786571428571428e-006	5.596125e+000
6.857714285714286e-006	5.643371e+000
6.928857142857143e-006	5.687073e+000
7.000000000000000e-006	5.727232e+000
7.000125000000000e-006	5.727300e+000
7.000175000000000e-006	5.727327e+000
7.000275000000001e-006	5.727381e+000
7.000300000000001e-006	5.727395e+000
7.001000000000000e-006	5.727773e+000
7.072428571428571e-006	5.767334e+000
7.143857142857142e-006	5.808369e+000
7.215285714285714e-006	5.850877e+000
7.286714285714285e-006	5.894859e+000
7.358142857142857e-006	5.940314e+000
7.429571428571429e-006	5.987243e+000
7.501000000000000e-006	6.035646e+000
7.501776875002259e-006	6.036179e+000
7.501789625002130e-006	6.036187e+000
7.501792812502098e-006	6.036190e+000
7.501799187502034e-006	6.036194e+000
7.501811937501905e-006	6.036202e+000
7.501837437501647e-006	6.036220e+000
7.501888437501131e-006	6.036255e+000
7.502000000000000e-006	6.036331e+000
7.573142857142858e-006	6.083139e+000
7.644285714285715e-006	6.126305e+000
7.715428571428571e-006	6.165830e+000
7.786571428571429e-006	6.201713e+000
7.857714285714285e-006	6.233956e+000
7.928857142857143e-006	6.262557e+000
8.000000000000000e-006	6.287517e+000
8.000125000000000e-006	6.287558e+000
8.000175000000000e-006	6.287574e+000
8.000275000000000e-006	6.287607e+000
8.000300000000000e-006	6.287615e+000
8.001000000000000e-006	6.287844e+000
8.072428571428571e-006	6.312077e+000
8.143857142857142e-006	6.337747e+000
8.215285714285713e-006	6.364853e+000
8.286714285714286e-006	6.393395e+000
8.358142857142857e-006	6.423373e+000
8.429571428571428e-006	6.454786e+000
8.500999999999999e-006	6.487636e+000
8.501776875002273e-006	6.488000e+000
8.501789625002143e-006	6.488006e+000
