Freq.	V(n004)
1.00000000000000e+001	(2.06798721891306e+001dB,-1.16281842892875e+001°)
1.12201845430196e+001	(2.06242943385441e+001dB,-1.29843984215324e+001°)
1.25892541179417e+001	(2.05553360226315e+001dB,-1.44817811856422e+001°)
1.41253754462275e+001	(2.04700723564110e+001dB,-1.61286221095729e+001°)
1.58489319246111e+001	(2.03650913350615e+001dB,-1.79312844868169e+001°)
1.77827941003892e+001	(2.02364876710114e+001dB,-1.98932309662551e+001°)
1.99526231496888e+001	(2.00798961432107e+001dB,-2.20138843098154e+001°)
2.23872113856834e+001	(1.98905798282336e+001dB,-2.42873900392962e+001°)
2.51188643150958e+001	(1.96635867023560e+001dB,-2.67014042103490e+001°)
2.81838293126445e+001	(1.93939813440663e+001dB,-2.92360887196838e+001°)
3.16227766016838e+001	(1.90771458703723e+001dB,-3.18635387764062e+001°)
3.54813389233575e+001	(1.87091268317283e+001dB,-3.45478659562848e+001°)
3.98107170553497e+001	(1.82869865836857e+001dB,-3.72460923341069e+001°)
4.46683592150963e+001	(1.78091052843265e+001dB,-3.99098722089067e+001°)
5.01187233627272e+001	(1.72753800035498e+001dB,-4.24878756707563e+001°)
5.62341325190348e+001	(1.66872836847206e+001dB,-4.49285003991628e+001°)
6.30957344480192e+001	(1.60477755112159e+001dB,-4.71824892846238e+001°)
7.07945784384137e+001	(1.53610861963034e+001dB,-4.92050593406915e+001°)
7.94328234724280e+001	(1.46324258281298e+001dB,-5.09572807647167e+001°)
8.91250938133744e+001	(1.38676710531667e+001dB,-5.24066306022088e+001°)
9.99999999999998e+001	(1.30730822555921e+001dB,-5.35268178865018e+001°)
1.12201845430196e+002	(1.22550852363442e+001dB,-5.42970902827444e+001°)
1.25892541179417e+002	(1.14201328222122e+001dB,-5.47012734265943e+001°)
1.41253754462275e+002	(1.05746453814416e+001dB,-5.47267777177006e+001°)
1.58489319246111e+002	(9.72501789747382e+000dB,-5.43637589411610e+001°)
1.77827941003892e+002	(8.87767493813534e+000dB,-5.36045615419039e+001°)
1.99526231496888e+002	(8.03915206634437e+000dB,-5.24435197793274e+001°)
2.23872113856833e+002	(7.21618132909476e+000dB,-5.08771454523454e+001°)
2.51188643150957e+002	(6.41575842742488e+000dB,-4.89046878289750e+001°)
2.81838293126445e+002	(5.64516997930660e+000dB,-4.65290059375954e+001°)
3.16227766016837e+002	(4.91196187672248e+000dB,-4.37576419070888e+001°)
3.54813389233575e+002	(4.22383564915774e+000dB,-4.06039296835297e+001°)
3.98107170553496e+002	(3.58847032344350e+000dB,-3.70879290360218e+001°)
4.46683592150962e+002	(3.01328244963177e+000dB,-3.32369622894525e+001°)
5.01187233627271e+002	(2.50515404832373e+000dB,-2.90855745164722e+001°)
5.62341325190348e+002	(2.07017160461320e+000dB,-2.46748482865833e+001°)
6.30957344480192e+002	(1.71342196787466e+000dB,-2.00511644264526e+001°)
7.07945784384136e+002	(1.43887850612568e+000dB,-1.52646599660874e+001°)
7.94328234724279e+002	(1.24938463718947e+000dB,-1.03677253013275e+001°)
8.91250938133743e+002	(1.14671072265485e+000dB,-5.41385298048594e+000°)
9.99999999999997e+002	(1.13163708437685e+000dB,-4.56998388470120e-001°)
1.12201845430196e+003	(1.20401114656421e+000dB,4.44860615055268e+000°)
1.25892541179416e+003	(1.36274320492915e+000dB,9.24843753266883e+000°)
1.41253754462275e+003	(1.60573651622378e+000dB,1.38878110811037e+001°)
1.58489319246111e+003	(1.92978029368125e+000dB,1.83124410965095e+001°)
1.77827941003892e+003	(2.33045507887685e+000dB,2.24695469529282e+001°)
1.99526231496887e+003	(2.80210043035609e+000dB,2.63094002647332e+001°)
2.23872113856833e+003	(3.33787557712177e+000dB,2.97870376953301e+001°)
2.51188643150957e+003	(3.92991385772225e+000dB,3.28638074397610e+001°)
2.81838293126444e+003	(4.56954439073085e+000dB,3.55084865392394e+001°)
3.16227766016837e+003	(5.24753976896203e+000dB,3.76978574547340e+001°)
3.54813389233574e+003	(5.95434995257993e+000dB,3.94167962801858e+001°)
3.98107170553496e+003	(6.68029642931609e+000dB,4.06580422150829e+001°)
4.46683592150961e+003	(7.41572010587211e+000dB,4.14218602307322e+001°)
5.01187233627270e+003	(8.15109453573922e+000dB,4.17157788719698e+001°)
5.62341325190347e+003	(8.87712847070644e+000dB,4.15545032012843e+001°)
6.30957344480190e+003	(9.58488615135355e+000dB,4.09599942654385e+001°)
7.07945784384135e+003	(1.02659495327908e+001dB,3.99615957217643e+001°)
7.94328234724278e+003	(1.09126341071817e+001dB,3.85960001405503e+001°)
8.91250938133741e+003	(1.15182508749391e+001dB,3.69068082629459e+001°)
9.99999999999995e+003	(1.20773853384236e+001dB,3.49434676084649e+001°)
1.12201845430196e+004	(1.25861466266982e+001dB,3.27594910054657e+001°)
1.25892541179416e+004	(1.30423333728286e+001dB,3.04100309696731e+001°)
1.41253754462275e+004	(1.34454725734385e+001dB,2.79490703737573e+001°)
1.58489319246111e+004	(1.37967121780960e+001dB,2.54266160103942e+001°)
1.77827941003891e+004	(1.40985796939361e+001dB,2.28862987874282e+001°)
1.99526231496887e+004	(1.43546464289946e+001dB,2.03636866626464e+001°)
2.23872113856833e+004	(1.45691511919504e+001dB,1.78854461692253e+001°)
2.51188643150957e+004	(1.47466357098454e+001dB,1.54693109976542e+001°)
2.81838293126444e+004	(1.48916305189358e+001dB,1.31246866844051e+001°)
3.16227766016836e+004	(1.50084116206804e+001dB,1.08536628188766e+001°)
3.54813389233573e+004	(1.51008311754328e+001dB,8.65221106574240e+000°)
3.98107170553495e+004	(1.51722135663794e+001dB,6.51139442948420e+000°)
4.46683592150960e+004	(1.52253020430067e+001dB,4.41847466919426e+000°)
5.01187233627269e+004	(1.52622397396379e+001dB,2.35786222482185e+000°)
5.62341325190346e+004	(1.52845704237628e+001dB,3.11897580821828e-001°)
6.30957344480189e+004	(1.52932473077097e+001dB,-1.73851689296461e+000°)
7.07945784384133e+004	(1.52886416184431e+001dB,-3.81339754595264e+000°)
7.94328234724276e+004	(1.52705458504092e+001dB,-5.93322588492682e+000°)
8.91250938133740e+004	(1.52381696031106e+001dB,-8.11851008777385e+000°)
9.99999999999993e+004	(1.51901287381834e+001dB,-1.03893102130661e+001°)
1.12201845430196e+005	(1.51244314799405e+001dB,-1.27646782973016e+001°)
1.25892541179416e+005	(1.50384681911022e+001dB,-1.52619715388163e+001°)
1.41253754462274e+005	(1.49290148722031e+001dB,-1.78960108574554e+001°)
1.58489319246110e+005	(1.47922636243097e+001dB,-2.06780818023723e+001°)
1.77827941003891e+005	(1.46238955667469e+001dB,-2.36148131668976e+001°)
1.99526231496887e+005	(1.44192116549378e+001dB,-2.67070211677031e+001°)
2.23872113856832e+005	(1.41733327679125e+001dB,-2.99486681258790e+001°)
2.51188643150956e+005	(1.38814708375322e+001dB,-3.33261397831216e+001°)
2.81838293126443e+005	(1.35392575040018e+001dB,-3.68180711464014e+001°)
3.16227766016835e+005	(1.31430981875958e+001dB,-4.03959204559568e+001°)
3.54813389233573e+005	(1.26905029873683e+001dB,-4.40253881689458e+001°)
3.98107170553494e+005	(1.21803386273353e+001dB,-4.76686126563267e+001°)
4.46683592150960e+005	(1.16129533997301e+001dB,-5.12868901485929e+001°)
5.01187233627268e+005	(1.09901499999104e+001dB,-5.48435282878534e+001°)
5.62341325190344e+005	(1.03150127477344e+001dB,-5.83064062566169e+001°)
6.30957344480188e+005	(9.59162508459492e+000dB,-6.16498954070114e+001°)
7.07945784384132e+005	(8.82473068564492e+000dB,-6.48559587041112e+001°)
7.94328234724275e+005	(8.01939307484353e+000dB,-6.79144315768303e+001°)
8.91250938133738e+005	(7.18069701997607e+000dB,-7.08226315284058e+001°)
9.99999999999991e+005	(6.31351692393052e+000dB,-7.35845185085473e+001°)
1.12201845430195e+006	(5.42235969881165e+000dB,-7.62096346333138e+001°)
1.25892541179416e+006	(4.51127647787185e+000dB,-7.87120127501536e+001°)
1.41253754462274e+006	(3.58383023950589e+000dB,-8.11091853407361e+001°)
1.58489319246110e+006	(2.64310412961061e+000dB,-8.34213688000329e+001°)
1.77827941003891e+006	(1.69173624760324e+000dB,-8.56708541324903e+001°)
1.99526231496886e+006	(7.31969220872651e-001dB,-8.78816065479908e+001°)
2.23872113856832e+006	(-2.34294203050999e-001dB,-9.00790616695076e+001°)
2.51188643150956e+006	(-1.20543580564211e+000dB,-9.22901016664124e+001°)
2.81838293126443e+006	(-2.18007129767575e+000dB,-9.45431971784162e+001°)
3.16227766016835e+006	(-3.15700816696720e+000dB,-9.68687077031797e+001°)
3.54813389233572e+006	(-4.13521592289886e+000dB,-9.92993422907802e+001°)
3.98107170553494e+006	(-5.11381422177664e+000dB,-1.01870792481382e+002°)
4.46683592150959e+006	(-6.09208758493785e+000dB,-1.04622558782366e+002°)
5.01187233627268e+006	(-7.06954106411354e+000dB,-1.07598997569143e+002°)
5.62341325190344e+006	(-8.04602040959222e+000dB,-1.10850610538157e+002°)
6.30957344480187e+006	(-9.02193466592625e+000dB,-1.14435569521366e+002°)
7.07945784384131e+006	(-9.99864046119379e+000dB,-1.18421385971232e+002°)
7.94328234724274e+006	(-1.09790762654893e+001dB,-1.22886438195092e+002°)
8.91250938133737e+006	(-1.19687670306490e+001dB,-1.27920653479207e+002°)
1.00000000000000e+007	(-1.29773343196118e+001dB,-1.33623838067345e+002°)
