time	V(vout)
0.000000000000000e+000	5.005000e-008
1.759999992967387e-010	5.005000e-008
1.774200804971000e-010	5.005522e-008
1.802602428978227e-010	5.039953e-008
1.814023311262894e-010	5.132526e-008
1.824011188831251e-010	5.356608e-008
1.834800591951908e-010	5.843554e-008
1.845358634346417e-010	6.740630e-008
1.854759843277105e-010	8.219055e-008
1.863304461230106e-010	1.065326e-007
1.871351968907561e-010	1.480203e-007
1.879911203059596e-010	2.257675e-007
1.887722125291711e-010	3.484874e-007
1.895886918287353e-010	5.588002e-007
1.904091736174355e-010	8.819387e-007
1.913696816968219e-010	1.412492e-006
1.926407707561105e-010	2.291036e-006
1.942059375076701e-010	3.509598e-006
1.960969540459232e-010	5.055717e-006
1.981589349599254e-010	6.766874e-006
2.014119489934932e-010	9.475983e-006
1.000000000000000e-009	6.751703e-004
1.011352655750644e-008	8.307317e-003
1.922705311501287e-008	1.600323e-002
2.834057967251931e-008	2.376291e-002
3.745410623002575e-008	3.158635e-002
4.656763278753219e-008	3.947356e-002
5.568115934503863e-008	4.742454e-002
6.479468590254504e-008	5.543928e-002
1.286049504829662e-007	1.130239e-001
2.286049504829662e-007	2.076093e-001
3.286049504829661e-007	3.070094e-001
4.039999999999999e-007	3.849381e-001
4.319999999999991e-007	4.150985e-001
4.418571428571420e-007	4.257695e-001
4.517142857142850e-007	4.364954e-001
4.615714285714280e-007	4.472761e-001
4.714285714285710e-007	4.581118e-001
4.812857142857140e-007	4.690024e-001
4.911428571428570e-007	4.799478e-001
5.010000000000000e-007	4.909482e-001
5.017499999999999e-007	4.917869e-001
5.017750000000000e-007	4.918113e-001
5.018250000000000e-007	4.918488e-001
5.018265625000000e-007	4.918496e-001
5.020000000000000e-007	4.918989e-001
5.731428571428572e-007	5.117707e-001
6.442857142857144e-007	5.310992e-001
7.154285714285715e-007	5.498843e-001
7.865714285714287e-007	5.681259e-001
8.577142857142858e-007	5.858242e-001
9.288571428571430e-007	6.029791e-001
1.000000000000000e-006	6.195905e-001
1.000124999999993e-006	6.196191e-001
1.000174999999990e-006	6.196377e-001
1.000274999999984e-006	6.196966e-001
1.000278124999983e-006	6.196993e-001
1.001000000000000e-006	6.204668e-001
1.072428571428571e-006	6.982299e-001
1.143857142857143e-006	7.782429e-001
1.215285714285714e-006	8.605056e-001
1.286714285714286e-006	9.450181e-001
1.358142857142857e-006	1.031780e+000
1.429571428571429e-006	1.120792e+000
1.501000000000000e-006	1.212054e+000
1.501750000000058e-006	1.213025e+000
1.501775000000052e-006	1.213054e+000
1.501825000000041e-006	1.213100e+000
1.501826562500041e-006	1.213101e+000
1.502000000000000e-006	1.213181e+000
1.573142857142857e-006	1.245241e+000
1.644285714285714e-006	1.276266e+000
1.715428571428572e-006	1.306255e+000
1.786571428571429e-006	1.335209e+000
1.857714285714286e-006	1.363127e+000
1.928857142857143e-006	1.390011e+000
2.000000000000000e-006	1.415859e+000
2.000124999999992e-006	1.415903e+000
2.000174999999989e-006	1.415928e+000
2.000274999999983e-006	1.415999e+000
2.000278124999983e-006	1.416002e+000
2.001000000000000e-006	1.416860e+000
2.072428571428571e-006	1.503276e+000
2.143857142857143e-006	1.591481e+000
2.215285714285714e-006	1.681473e+000
2.286714285714286e-006	1.773254e+000
2.358142857142857e-006	1.866823e+000
2.429571428571428e-006	1.962180e+000
2.501000000000000e-006	2.059325e+000
2.501750000000015e-006	2.060355e+000
2.501775000000013e-006	2.060385e+000
2.501825000000011e-006	2.060436e+000
2.501826562500011e-006	2.060437e+000
2.502000000000000e-006	2.060530e+000
2.573142857142857e-006	2.097874e+000
2.644285714285714e-006	2.133765e+000
2.715428571428571e-006	2.168201e+000
2.786571428571429e-006	2.201184e+000
2.857714285714286e-006	2.232713e+000
2.928857142857143e-006	2.262788e+000
3.000000000000000e-006	2.291410e+000
3.000124999999993e-006	2.291458e+000
3.000174999999990e-006	2.291485e+000
3.000274999999985e-006	2.291560e+000
3.000278124999984e-006	2.291563e+000
3.001000000000000e-006	2.292447e+000
3.072428571428572e-006	2.381125e+000
3.143857142857143e-006	2.471212e+000
3.215285714285714e-006	2.562709e+000
3.286714285714286e-006	2.655615e+000
3.358142857142857e-006	2.749930e+000
3.429571428571429e-006	2.845654e+000
3.501000000000000e-006	2.942788e+000
3.501750000000016e-006	2.943815e+000
3.501775000000014e-006	2.943846e+000
3.501825000000011e-006	2.943896e+000
3.501826562500011e-006	2.943897e+000
3.502000000000000e-006	2.943990e+000
3.573142857142857e-006	2.980855e+000
3.644285714285714e-006	3.015936e+000
3.715428571428572e-006	3.049233e+000
3.786571428571429e-006	3.080745e+000
3.857714285714286e-006	3.110473e+000
3.928857142857143e-006	3.138416e+000
4.000000000000000e-006	3.164575e+000
4.000125000000000e-006	3.164619e+000
4.000175000000000e-006	3.164644e+000
4.000275000000000e-006	3.164719e+000
4.000300000000001e-006	3.164745e+000
4.001000000000000e-006	3.165576e+000
4.072428571428571e-006	3.251374e+000
4.143857142857142e-006	3.338295e+000
4.215285714285714e-006	3.426338e+000
4.286714285714285e-006	3.515503e+000
4.358142857142857e-006	3.605790e+000
4.429571428571429e-006	3.697199e+000
4.501000000000000e-006	3.789730e+000
4.501750000000000e-006	3.790707e+000
4.501775000000000e-006	3.790736e+000
4.501825000000000e-006	3.790783e+000
4.501826562500000e-006	3.790784e+000
4.502000000000000e-006	3.790865e+000
4.573142857142857e-006	3.822799e+000
4.644285714285715e-006	3.852711e+000
4.715428571428572e-006	3.880600e+000
4.786571428571429e-006	3.906467e+000
4.857714285714285e-006	3.930312e+000
4.928857142857142e-006	3.952134e+000
