time	V(vout)	V(n003)
0.000000000000000e+000	5.005000e-008	0.000000e+000
1.748046825561858e-010	5.005000e-008	8.740234e-001
1.787109324457095e-010	5.005000e-008	8.935547e-001
1.802127057159941e-010	5.005000e-008	9.010635e-001
1.814439216667788e-010	5.005000e-008	9.072196e-001
1.823859920822980e-010	5.005000e-008	9.119300e-001
1.834645044189804e-010	5.005001e-008	9.173225e-001
1.845324089826705e-010	5.005003e-008	9.226620e-001
1.854774512758999e-010	5.005005e-008	9.273872e-001
1.863328020517022e-010	5.005010e-008	9.316640e-001
1.871373899848015e-010	5.005018e-008	9.356869e-001
1.879935839947905e-010	5.005031e-008	9.399679e-001
1.887745014014977e-010	5.005054e-008	9.438725e-001
1.895911782690957e-010	5.005094e-008	9.479559e-001
1.904117459415924e-010	5.005161e-008	9.520587e-001
1.913729121933977e-010	5.005296e-008	9.568645e-001
1.926456945063839e-010	5.005587e-008	9.632285e-001
1.942106446666873e-010	5.006146e-008	9.710532e-001
1.961017442510596e-010	5.007130e-008	9.805087e-001
1.981652372968169e-010	5.008653e-008	9.908262e-001
2.014230329920849e-010	5.012132e-008	1.007115e+000
3.155054568503585e-010	5.945439e-008	1.577527e+000
4.295878807086321e-010	8.128981e-008	2.147939e+000
5.436703045669057e-010	1.156276e-007	2.718351e+000
6.577527284251793e-010	1.624677e-007	3.288764e+000
7.718351522834530e-010	2.218102e-007	3.859176e+000
8.859175761417266e-010	2.936550e-007	4.429588e+000
1.000000000000000e-009	3.780022e-007	5.000000e+000
1.116549901931643e-009	4.815348e-007	5.000000e+000
1.249749789853521e-009	6.204473e-007	5.000000e+000
1.516149565697277e-009	9.647883e-007	5.000000e+000
2.048949117384789e-009	1.919508e-006	5.000000e+000
3.114548220759812e-009	4.892885e-006	5.000000e+000
5.245746427509859e-009	1.509369e-005	5.000000e+000
9.508142841009951e-009	5.249781e-005	5.000000e+000
1.803293566801014e-008	1.952067e-004	5.000000e+000
3.508252132201051e-008	7.513465e-004	5.000000e+000
6.918169263001126e-008	2.939406e-003	5.000000e+000
1.373800352460128e-007	1.093042e-002	5.000000e+000
2.350362852460128e-007	2.938210e-002	5.000000e+000
3.326925352460128e-007	5.620086e-002	5.000000e+000
4.303487852460128e-007	9.188989e-002	5.000000e+000
5.280050352460128e-007	1.362438e-001	5.000000e+000
6.256612852460128e-007	1.890532e-001	5.000000e+000
7.233175352460129e-007	2.501044e-001	5.000000e+000
8.209737852460129e-007	3.191804e-001	5.000000e+000
9.186300352460130e-007	3.960607e-001	5.000000e+000
1.016286285246013e-006	4.805217e-001	5.000000e+000
1.113942535246013e-006	5.723369e-001	5.000000e+000
1.211598785246013e-006	6.712774e-001	5.000000e+000
1.309255035246013e-006	7.771118e-001	5.000000e+000
1.406911285246013e-006	8.896067e-001	5.000000e+000
1.504567535246013e-006	1.008527e+000	5.000000e+000
1.602223785246013e-006	1.133636e+000	5.000000e+000
1.797536285246013e-006	1.401469e+000	5.000000e+000
1.992848785246013e-006	1.691190e+000	5.000000e+000
2.188161285246013e-006	2.000877e+000	5.000000e+000
2.481130035246012e-006	2.498639e+000	5.000000e+000
2.774098785246012e-006	3.030541e+000	5.000000e+000
3.011263963817440e-006	3.489505e+000	5.000000e+000
3.248429142388869e-006	3.955502e+000	5.000000e+000
3.485594320960298e-006	4.428530e+000	5.000000e+000
3.722759499531727e-006	4.908590e+000	5.000000e+000
3.959924678103155e-006	5.395681e+000	5.000000e+000
4.197089856674584e-006	5.889805e+000	5.000000e+000
4.434255035246012e-006	6.390960e+000	5.000000e+000
4.515218601639439e-006	6.559243e+000	5.000000e+000
4.596182168032866e-006	6.726805e+000	5.000000e+000
4.677145734426293e-006	6.893647e+000	5.000000e+000
4.758109300819719e-006	7.059767e+000	5.000000e+000
4.839072867213146e-006	7.225168e+000	5.000000e+000
4.920036433606574e-006	7.389847e+000	5.000000e+000
5.001000000000000e-006	7.553806e+000	5.000000e+000
5.001750000000823e-006	7.555318e+000	1.250000e+000
5.001775000000741e-006	7.555368e+000	1.125000e+000
5.001825000000577e-006	7.555469e+000	8.750000e-001
5.001826562500572e-006	7.555472e+000	8.671875e-001
5.002000000000001e-006	7.555822e+000	0.000000e+000
5.186689659541067e-006	7.905801e+000	0.000000e+000
5.371379319082133e-006	8.218023e+000	0.000000e+000
5.556068978623199e-006	8.492488e+000	0.000000e+000
